customer_id,product_id,rating
u_62501ebb,336484,3
u_5f62a162,320543,5
u_b90f7feb,320543,5
u_17bcc5a0,320543,5
u_8062a4ad,320543,5
u_67e074e3,320543,5
u_db265697,340737,4
u_7735f0a0,208417,4
u_b6097bb0,208417,5
u_d67e5da2,208417,3
u_d4ad4f54,208417,4
u_5117d2ee,208417,5
u_be0a7eed,220748,5
u_79cf07ee,220748,5
u_e9988001,220748,5
u_93172af9,220748,5
u_a5facb3a,220748,5
u_fde08f47,333716,1
u_27fb3eb2,333716,5
u_6d58827b,289339,5
u_55fb31c7,289339,5
u_47df2f78,289339,5
u_d0f7bca9,289339,5
u_af21aebf,289339,5
u_c8068f2b,278442,4
u_f2e02ee5,278442,5
u_e1043742,278442,4
u_3fa0b892,278442,5
u_5f06c05c,278442,4
u_29bff437,358746,4
u_2bca6c4f,305814,3
u_a99752c2,207428,1
u_a85a47f2,207428,3
u_59008b9c,207428,4
u_b2610607,207428,5
u_fcfab854,207428,5
u_fb69ec81,283074,2
u_20195905,283074,5
u_609e92ff,283074,5
u_692cea11,283074,3
u_19f00b44,286440,5
u_b08e059d,286440,5
u_46ef6564,286440,5
u_300c8e3f,286440,4
u_7cb19530,286440,5
u_d97f5514,286424,5
u_5974fb21,286424,4
u_a03aca57,286424,5
u_552d9c7d,286424,5
u_96632888,286424,5
u_d84e92be,252154,5
u_568fb6d5,252154,5
u_175ac95a,252154,5
u_8ac81f9c,252154,4
u_d38a81b3,252154,1
u_9d470407,241145,5
u_da608cfb,241145,5
u_dc7938b9,241145,5
u_fecee289,241145,5
u_5b9b317e,241145,5
u_4be80b01,241146,5
u_c7a33c3d,241146,4
u_30a841a2,241146,5
u_8740d76d,241146,5
u_97f49098,241146,5
u_eacd478a,361700,1
u_f1caa913,361700,5
u_3075b6a1,311100,5
u_88760619,311100,5
u_54d58e57,311100,5
u_2370833c,311100,5
u_edc21277,311100,5
u_438f8416,251230,5
u_341db4b3,251230,5
u_abb9e2a5,251230,5
u_f4bffdb6,251230,5
u_b319c4ea,251230,5
u_0071240e,337464,5
u_75f723cf,337464,5
u_98407cb6,337464,1
u_a10b2f2c,337464,3
u_f0ba14d3,337464,5
u_2da55f5c,356824,4
u_9969cc83,337463,5
u_bbaaf616,337463,5
u_3ff3ef53,337463,3
u_7fd9b7b5,337463,4
u_79c2e415,337463,5
u_c5465fee,355726,4
u_f1d0f188,355726,1
u_46bb2e9e,355726,3
u_a0b74ea1,341754,4
u_83bb0666,341754,4
u_1768ebe2,341754,5
u_43c2bb44,341754,3
u_a1b9ff8a,341754,5
u_4192a194,326193,5
u_e21cf55f,326193,5
u_8e422c11,326193,5
u_80fc8ee5,326193,3
u_8bd89345,326193,5
u_6bf2d2f0,327436,5
u_4f242282,327436,4
u_883eac96,327436,5
u_257e5e3a,327436,5
u_45a448bf,327436,4
u_d90dea02,286271,5
u_0173da86,286271,5
u_11b59e99,286271,3
u_ac42d964,286271,3
u_aa7dfb5a,286271,3
u_accb20f3,312682,1
u_2a938983,312682,3
u_d409c656,312682,5
u_c05a4595,312682,4
u_e0c4b1bc,312682,5
u_c94445f8,327958,5
u_fff695ef,327958,5
u_8394f034,327958,5
u_adbcf9c1,327958,5
u_c1d9f50f,327958,5
u_af4f4058,339754,5
u_120fca7b,339754,3
u_ffc803c2,327959,3
u_a3437172,302677,1
u_3c0c0231,302677,5
u_5e9224fd,302677,3
u_e8f09fc8,302677,4
u_c0351e2a,302677,5
u_23c01be5,226084,5
u_c71cd598,226084,1
u_e19eb29b,226084,5
u_c1c4b122,226084,1
u_5daafc73,226084,1
u_cd7b005c,273221,2
u_94435bd9,273221,4
u_80ed2a71,273221,5
u_4919b56d,273221,5
u_baf9e25d,273221,1
u_b3a839fd,341531,5
u_0b630634,329603,5
u_28359bbe,329604,5
u_7e8775b4,325336,5
u_9c8af4a6,325338,1
u_428f9859,325338,1
u_bd09e26f,333742,5
u_52f5e750,333742,5
u_7353eb87,333742,5
u_a96127ec,319700,5
u_0fb5451f,319700,5
u_1f742c2d,319700,5
u_8001161f,319700,5
u_0aafea16,319700,5
u_ec2cf7a4,242835,4
u_b13964e5,242835,5
u_16d3b565,242835,5
u_f203672b,242835,5
u_9e09356c,242835,5
u_45c92e7e,223678,5
u_59ea1321,223678,5
u_28889031,223678,3
u_ff0945b7,223678,5
u_73b6f8aa,223678,2
u_67bddc82,339583,4
u_6cd91369,339583,5
u_8394f034,339583,2
u_65b25292,339583,3
u_b7dc1d25,339583,5
u_ffa0e7d9,358173,5
u_5142aebf,358173,5
u_c920a095,358173,5
u_113a543a,358173,5
u_e2c62f2f,358173,5
u_604e1fb9,339585,3
u_f5fe9bcd,286312,2
u_75298c75,286312,5
u_2cc38316,286312,5
u_246a8f5d,286312,1
u_76e1e064,286312,3
u_d354999d,304783,5
u_57f17cfa,304783,5
u_ec8dae23,304783,5
u_9d341b37,304783,5
u_2d604b16,304783,5
u_fae3f501,325089,3
u_78c6696b,325089,5
u_9e09356c,325089,3
u_08464800,309067,5
u_6788abf9,309067,5
u_54549208,309067,5
u_064b14d9,309067,5
u_d262e3c0,309067,5
u_95b0d692,223478,3
u_aa33783f,223478,4
u_95866d88,223478,5
u_71cd479d,223478,1
u_6ee60bff,223478,1
u_daa4c680,325087,5
u_c981db57,339488,1
